member_id,dest_id
43,28
51,39
97,17
61,48
53,59
45,27
55,33
44,4
78,37
75,46
36,10
45,7
7,15
85,44
53,48
17,42
4,13
53,56
92,52
10,44
52,37
81,34
20,44
48,27
32,28
3,38
88,43
79,42
10,44
10,14
63,41
91,11
44,28
92,51
75,1
63,56
86,42
60,59
80,11
99,19
33,40
32,24
6,54
71,49
37,24
12,33
50,39
56,47
3,52
4,4
31,31
85,25
90,29
73,26
97,56
95,1
57,17
73,59
15,34
31,42
37,51
15,36
6,58
30,26
2,26
61,2
22,25
45,46
99,58
8,58
51,14
86,22
26,49
42,9
29,10
19,2
98,60
77,32
11,57
86,3
3,34
25,30
27,49
31,23
26,28
25,7
11,43
16,11
18,46
51,18
52,30
10,31
42,13
52,56
42,12
6,48
76,2
14,25
65,15
74,33
90,49
99,53
6,20
69,6
70,10
90,46
74,16
41,22
16,51
87,53
24,9
16,54
36,20
35,45
20,34
77,38
100,53
13,37
96,48
65,15
85,39
30,54
98,7
8,50
63,53
96,42
28,51
44,1
20,35
41,41
95,10
66,22
24,26
88,46
44,54
43,34
49,44
65,29
5,21
67,49
97,39
37,1
89,43
48,20
59,3
5,15
16,31
51,12
6,28
22,16
19,59
11,10
66,50
54,8
13,53
54,20
23,40
61,42
92,3
86,17
30,46
74,19
45,17
8,50
53,50
23,45
10,54
33,19
24,49
71,54
66,29
37,33
39,18
7,5
21,51
58,37
55,52
46,25
77,16
40,34
92,56
60,36
18,38
19,34
81,5
48,30
78,6
98,38
72,1
70,34
20,15
16,29
93,49
28,46
68,38
99,25
20,41
50,36
46,59
42,30
38,1
26,45
52,21
29,56
5,8
70,9
53,20
82,28
11,54
80,39
67,3
82,49
85,48
70,16
36,52
3,30
14,22
76,59
53,23
84,37
58,25
17,38
6,32
68,41
33,58
4,8
50,46
22,52
93,43
12,39
12,35
54,15
37,58
55,31
75,34
80,53
18,17
52,26
35,29
50,58
39,54
3,51
49,9
39,58
38,45
11,55
91,37
95,17
59,28
66,24
93,12
68,16
70,50
96,50
83,43
37,4
45,55
29,60
47,59
30,1
71,8
95,4
25,53
15,20
28,31
92,60
11,7
2,49
16,36
57,45
27,48
95,46
33,27
16,46
69,38
74,25
69,37
2,23
44,14
15,55
7,57
27,4
70,33
26,42
94,57
20,35
3,14
2,33
69,33
56,29
53,52
83,35
1,5
50,1
56,25
33,33
45,40
49,35
41,38
91,53
27,51
23,30
40,60
46,6
33,9
65,16
22,17
35,17
17,29
15,1
54,39
36,10
85,24
9,23
34,31
75,58
20,44
23,44
66,32
48,31
40,29
19,16
22,7
4,46
34,42
58,13
70,9
22,28
58,35
16,19
50,11
26,57
81,58
65,33
53,23
85,17
55,51
19,48
75,22
50,58
51,6
8,17
48,26
70,11
5,25
22,17
32,6
80,7
79,33
8,60
17,53
26,48
47,22
99,50
74,53
40,8
65,27
36,17
28,55
65,23
54,42
63,42
42,23
52,36
71,33
22,12
48,17
75,44
20,39
96,32
79,39
16,56
45,18
3,19
6,32
37,16
79,32
76,36
23,10
8,44
78,31
59,29
7,19
85,58
31,57
91,43
93,20
66,6
64,41
45,4
88,1
17,58
36,45
45,23
50,10
3,27
55,28
3,22
25,2
13,14
