rat_stars,rat_amt_spent,hotel_id,member_id,air_code,dest_id,highlight_id
4,2124,3,92,7C,37,15
5,2059,6,6,7C,19,7
5,2177,9,72,B6,12,15
2,1155,5,36,B6,8,7
3,2148,4,10,AC,20,12
1,2580,10,3,BA,49,15
2,1213,3,35,AA,16,6
5,1341,3,38,CA,1,12
4,2850,7,99,CA,18,5
4,2204,6,27,7C,26,14
5,2385,6,16,AS,18,11
4,2575,4,74,7C,18,8
2,2394,4,23,CA,45,3
2,1712,10,7,BA,20,2
5,1001,10,65,AF,9,16
5,2194,2,53,7C,34,15
1,2179,4,51,AF,13,16
1,1822,2,94,B6,19,3
5,2143,10,10,BA,46,13
5,1437,1,93,AS,51,11
2,1663,8,12,AS,43,10
2,1303,9,25,AA,41,13
5,2566,2,92,BA,50,10
1,1169,5,67,BA,23,11
3,1815,9,34,CA,11,11
5,2971,5,88,B6,15,7
4,1936,4,77,7C,41,12
5,1502,2,16,AF,53,10
4,1247,2,7,AC,49,16
5,1754,1,47,CA,22,3
4,1703,7,73,AC,9,9
5,1456,7,97,BA,29,5
1,1098,4,4,CA,17,9
1,2988,6,54,BA,17,9
3,1558,10,68,CA,3,15
1,1722,1,97,7C,8,6
3,1656,1,43,AA,19,17
1,1822,8,15,BA,8,15
5,2268,9,35,7C,6,17
4,2577,9,95,AA,13,9
2,1454,7,94,B6,16,12
1,2800,1,81,AF,41,6
3,1648,5,30,7C,55,11
4,2688,3,14,7C,7,2
5,1531,3,6,BA,15,6
4,1845,10,91,B6,9,3
5,1516,3,70,B6,51,1
2,2563,5,25,AS,23,14
4,2174,9,29,BA,50,14
1,2273,6,62,AS,56,4
4,2797,4,68,BA,40,7
3,1171,8,13,B6,60,8
3,2708,7,51,AS,47,4
5,1341,10,27,AA,8,5
3,1445,5,56,BA,43,17
4,2630,9,73,AC,3,3
2,1459,1,59,7C,20,6
5,1092,5,63,AF,58,14
3,1210,5,70,B6,24,8
2,2121,3,15,CA,43,12
1,1212,3,89,7C,7,9
5,1518,4,39,7C,44,10
4,1339,10,39,BA,46,17
5,1327,5,39,BA,36,9
2,2700,8,70,CA,8,7
2,2221,7,60,AF,59,12
4,1859,10,21,B6,12,14
1,1627,4,9,AF,36,12
2,2772,8,84,AS,10,10
3,2617,5,7,AF,3,13
5,2866,4,12,CA,55,14
1,1419,10,18,BA,31,14
3,1433,9,75,AA,41,1
4,2472,5,22,B6,43,4
1,2224,1,17,AS,39,14
3,2309,5,24,AS,37,17
5,2130,1,27,AC,42,14
4,1066,7,55,7C,29,11
2,1277,7,61,AA,56,1
2,2362,5,48,AF,4,13
3,1911,9,62,BA,49,3
3,1797,10,57,AS,13,16
3,1282,4,8,CA,4,2
1,2603,10,14,B6,21,11
2,1599,1,44,B6,21,15
1,2491,5,85,AS,57,1
1,2264,7,17,B6,60,11
4,2755,3,84,BA,24,15
3,2768,3,99,AS,57,3
5,2069,3,98,BA,2,14
4,1856,4,44,AA,59,13
1,2915,9,90,CA,4,8
5,1068,3,12,B6,36,1
1,1327,8,27,BA,53,15
2,2599,4,54,AA,25,2
4,1241,2,10,7C,7,2
1,2972,6,33,CA,43,14
4,2237,10,46,7C,32,11
4,1602,2,46,B6,13,12
4,2918,7,67,7C,35,16
2,2571,8,88,7C,45,8
5,2454,8,5,CA,38,6
1,2323,8,3,B6,53,7
4,1363,6,55,BA,28,1
1,1268,7,95,CA,9,1
2,2985,4,50,BA,10,8
5,2619,9,23,B6,3,10
5,1116,3,35,7C,48,12
4,2878,5,45,AF,41,9
2,2774,9,55,7C,16,9
2,1265,5,33,AC,44,3
3,2602,2,74,7C,26,14
2,2304,6,19,AF,27,10
3,2372,2,92,AA,29,5
1,2395,9,70,BA,35,9
3,1991,10,52,AF,22,13
4,1280,1,14,AF,44,17
5,1166,8,41,7C,53,6
3,1138,6,36,7C,45,15
1,1486,1,86,AS,21,12
3,1591,5,100,AF,56,10
1,1323,4,58,B6,32,17
1,2275,8,83,AA,38,16
5,1879,9,12,7C,54,12
5,1154,1,60,AS,11,17
3,2778,6,54,AA,38,11
1,1093,1,28,AA,44,15
4,2753,8,82,BA,28,12
4,2694,9,23,AS,8,8
5,1267,5,53,CA,37,15
2,1982,2,50,AC,34,12
3,1552,1,41,7C,31,2
1,1243,9,52,BA,4,9
4,1360,2,66,AS,32,8
5,1386,4,39,AS,31,17
2,1211,8,12,AF,42,9
2,2546,4,96,AA,60,6
4,2696,7,61,AC,38,5
3,2341,3,86,AC,35,15
2,1613,2,65,7C,27,2
1,2009,5,67,B6,17,9
3,2435,4,93,CA,50,10
4,2657,9,15,AS,52,13
5,1247,9,19,BA,4,6
4,1668,1,41,BA,53,15
2,1080,10,54,7C,52,10
2,2110,4,72,AF,4,1
5,2070,7,49,AC,19,11
1,2962,9,86,AC,22,8
4,2869,1,50,CA,9,8
3,2383,10,35,B6,37,5
5,2736,4,61,CA,13,13
1,2513,9,99,AS,26,3
5,1582,9,68,AS,15,7
3,1175,6,81,CA,59,4
1,2614,7,47,B6,38,8
2,2092,3,28,AC,2,5
1,1328,1,29,AF,46,2
4,2791,2,51,AA,10,2
1,2596,6,96,AS,42,15
5,1126,5,5,CA,45,8
2,1568,1,87,BA,51,12
4,1407,9,10,B6,44,16
1,2584,10,51,BA,41,13
5,2633,1,40,7C,7,3
5,1403,7,37,CA,45,7
3,2634,7,11,7C,2,14
2,1339,1,100,AS,1,12
4,1806,3,26,AA,56,11
5,2774,3,66,AS,54,2
2,2309,6,37,AC,33,2
3,1573,4,93,AC,50,2
3,2527,8,53,AS,25,9
2,1364,7,55,BA,32,4
2,1743,3,65,AA,30,17
3,1978,7,19,AA,50,10
5,1416,2,72,AS,28,2
3,2797,7,17,B6,10,15
5,2899,1,20,AA,47,2
4,2612,9,88,BA,56,9
4,2777,2,61,AS,38,17
3,1221,7,33,7C,38,6
2,1438,8,54,BA,47,13
2,1627,3,30,AA,59,8
2,2566,3,19,BA,54,15
5,2377,7,5,B6,60,16
5,2784,9,100,7C,58,16
1,1644,8,60,AS,12,3
3,1072,3,39,7C,12,7
4,2125,1,69,AS,24,16
2,1951,3,32,AS,16,3
2,2066,9,56,BA,60,2
1,2964,9,26,BA,40,14
